# # d [M_sun/pc^2]  Teq [K]
  7.41838e-06   9.47576e+05
  9.14573e-06   8.82701e+05
  1.12753e-05   8.29245e+05
  1.39007e-05   7.75995e+05
  1.71374e-05   7.07539e+05
  2.11278e-05   6.53103e+05
  2.60474e-05   5.92320e+05
  3.21124e-05   5.44638e+05
  3.95897e-05   5.20862e+05
  4.88080e-05   4.81168e+05
  6.01728e-05   4.32762e+05
  7.41838e-05   3.81451e+05
  9.14573e-05   3.09287e+05
  1.12753e-04   2.84011e+05
  1.39007e-04   2.53734e+05
  1.71374e-04   2.02751e+05
  2.11278e-04   1.74354e+05
  2.60474e-04   1.65297e+05
  3.21124e-04   1.56528e+05
  3.95897e-04   1.49432e+05
  4.88080e-04   1.35398e+05
  6.01728e-04   1.22983e+05
  7.41838e-04   1.13109e+05
  9.14573e-04   9.82859e+04
  1.12753e-03   9.07156e+04
  1.39007e-03   8.69474e+04
  1.71374e-03   8.29256e+04
  2.11278e-03   8.01055e+04
  2.60474e-03   7.64161e+04
  3.21124e-03   7.14905e+04
  3.95897e-03   1.75608e+04
  4.88080e-03   1.69805e+04
  6.01728e-03   1.64568e+04
  7.41838e-03   1.60237e+04
  9.14573e-03   1.55995e+04
  1.12753e-02   1.52454e+04
  1.39007e-02   1.49198e+04
  1.71374e-02   1.45646e+04
  2.11278e-02   1.42718e+04
  2.60474e-02   1.39332e+04
  3.21124e-02   1.35635e+04
  3.95897e-02   1.32576e+04
  4.88080e-02   1.28335e+04
  6.01728e-02   1.24313e+04
  7.41838e-02   1.21003e+04
  9.14573e-02   1.17242e+04
  1.12753e-01   1.14185e+04
  1.39007e-01   1.11625e+04
  1.71374e-01   1.09342e+04
  2.11278e-01   1.07494e+04
  2.60474e-01   1.05963e+04
  3.21124e-01   1.04694e+04
  3.95897e-01   1.03667e+04
  4.88080e-01   1.02831e+04
  6.01728e-01   1.02154e+04
  7.41838e-01   1.01605e+04
  9.14573e-01   1.01178e+04
  1.12753e+00   1.00832e+04
  1.39007e+00   1.00557e+04
  1.71374e+00   1.00349e+04
  2.11278e+00   1.00181e+04
  2.60474e+00   1.00055e+04
  3.21124e+00   9.42933e+03
  3.95897e+00   8.75509e+03
  4.88080e+00   8.10992e+03
  6.01728e+00   7.51102e+03
  7.41838e+00   6.95674e+03
  9.14573e+00   6.55099e+03
  1.12753e+01   6.17036e+03
  1.39007e+01   5.77317e+03
  1.71374e+01   4.99285e+03
  2.11278e+01   4.19940e+03
  2.60474e+01   3.38439e+03
  3.21124e+01   2.58397e+03
  3.95897e+01   1.77357e+03
  4.88080e+01   1.29725e+03
  6.01728e+01   9.19094e+02
  7.41838e+01   6.27556e+02
  9.14573e+01   4.60967e+02
  1.12753e+02   3.47249e+02
  1.39007e+02   2.69792e+02
  1.71374e+02   2.21435e+02
  2.11278e+02   1.82064e+02
  2.60474e+02   1.53207e+02
  3.21124e+02   1.31245e+02
  3.95897e+02   1.11288e+02
  4.88080e+02   9.74735e+01
  6.01728e+02   8.55753e+01
  7.41838e+02   7.42865e+01
  9.14573e+02   6.68209e+01
  1.12753e+03   6.01155e+01
  1.39007e+03   5.44298e+01
  1.71374e+03   5.03275e+01
  2.11278e+03   4.63411e+01
  2.60474e+03   4.31507e+01
  3.21124e+03   4.06231e+01
  3.95897e+03   3.81453e+01
  4.88080e+03   3.62913e+01
  6.01728e+03   3.46052e+01
  7.41838e+03   3.28180e+01
